route_id,delay_counts_by_route,total_counts_by_route,%_delayed_by_route
202407036733096,0,1,0.0
202407036733100,0,2,0.0
202407036733104,0,1,0.0
202407036733111,0,1,0.0
202407036733113,0,1,0.0
202407036733206,0,1,0.0
202407036733222,0,2,0.0
202407036733225,0,1,0.0
202407036733245,0,1,0.0
202407036734614,1,2,50.0
202407036734633,0,1,0.0
202407036734661,0,1,0.0
202407036734673,0,1,0.0
202407036734858,6,8,75.0
202407036734933,0,1,0.0
202407036734940,0,1,0.0
202407036735296,0,3,0.0
202407036735304,0,2,0.0
202407036735382,0,1,0.0
202407036735551,0,3,0.0
202407036735568,0,4,0.0
202407036735600,0,1,0.0
202407036735644,0,2,0.0
202407036735650,0,1,0.0
202407036735653,0,1,0.0
202407036735659,0,1,0.0
202407036735667,0,1,0.0
202407036735669,0,1,0.0
202407036735677,0,1,0.0
202407036735709,0,2,0.0
202407036735717,0,5,0.0
202407036735729,0,1,0.0
202407036735756,0,9,0.0
202407036735786,0,1,0.0
202407036735810,0,6,0.0
202407036735833,0,1,0.0
202407036735849,0,2,0.0
202407036735866,0,2,0.0
202407036735885,0,1,0.0
202407036735894,0,2,0.0
202407036735907,0,2,0.0
202407036735939,0,30,0.0
202407036735964,0,3,0.0
202407036737107,0,4,0.0
202407036737133,0,1,0.0
202407036737306,4,4,100.0
202407036737533,0,1,0.0
202407036737607,0,1,0.0
202407036737978,0,2,0.0
202407036738244,18,18,100.0
202407036738299,4,4,100.0
202407036738411,0,1,0.0
202407036738459,0,1,0.0
202407036738461,0,1,0.0
202407036738596,0,1,0.0
202407036738612,0,5,0.0
202407036738639,0,1,0.0
202407036738715,0,1,0.0
202407036738756,0,3,0.0
202407036738871,0,1,0.0
202407036739172,0,2,0.0
202407036742434,0,1,0.0
202407036742437,0,1,0.0
202407036742439,0,3,0.0
202407036742441,0,1,0.0
202407036742450,0,1,0.0
202407036742455,0,1,0.0
202407036742593,0,2,0.0
202407036742597,0,4,0.0
202407036742599,0,1,0.0
202407036742630,0,4,0.0
202407036742824,0,1,0.0
202407036742830,0,2,0.0
202407036742965,0,9,0.0
202407036743059,0,1,0.0
202407036743454,0,1,0.0
202407036743457,0,2,0.0
202407036746670,0,1,0.0
202407036746683,6,6,100.0
202407036746690,0,1,0.0
202407036746693,0,4,0.0
202407036746733,0,1,0.0
202407036746774,0,2,0.0
202407036746862,0,1,0.0
202407036746900,0,6,0.0
202407036746965,4,4,100.0
202407036747054,0,5,0.0
202407036747075,0,1,0.0
202407036748302,0,1,0.0
202407036748304,0,2,0.0
202407036748309,0,2,0.0
202407036748316,0,4,0.0
202407036748381,0,4,0.0
202407036748400,0,4,0.0
202407036748427,0,2,0.0
202407036748478,0,1,0.0
202407036748538,0,1,0.0
202407036748542,0,8,0.0
202407036748592,0,3,0.0
202407036748596,0,1,0.0
202407036748610,0,3,0.0
202407036760146,0,2,0.0
202407036760148,0,2,0.0
202407036760224,0,1,0.0
202407036760370,0,1,0.0
202407036760569,0,2,0.0
202407036760575,0,2,0.0
202407036760646,0,1,0.0
202407036760647,0,7,0.0
202407036760666,0,3,0.0
202407036760693,0,3,0.0
202407036760701,0,1,0.0
202407036760776,0,1,0.0
202407036765044,10,10,100.0
202407036765061,20,20,100.0
202407036765187,0,2,0.0
202407036765238,0,1,0.0
202407036765328,0,6,0.0
202407036775764,0,1,0.0
202407036775830,0,1,0.0
202407036775972,0,1,0.0
202407036776022,0,2,0.0
202407036776187,0,1,0.0
202407036776188,0,2,0.0
202407036776190,0,2,0.0
202407036776268,0,6,0.0
202407036776271,0,1,0.0
202407036776338,0,2,0.0
202407036776794,0,1,0.0
202407036776799,0,5,0.0
202407036776882,0,3,0.0
202407036776885,0,1,0.0
202407036777125,0,1,0.0
202407036777130,0,2,0.0
202407036777132,0,1,0.0
202407036777137,0,9,0.0
202407036777214,0,1,0.0
202407036777223,0,1,0.0
202407036777393,0,6,0.0
202407036777397,0,11,0.0
202407036777796,0,2,0.0
202407036777809,0,1,0.0
202407036777822,0,34,0.0
202407036777834,0,1,0.0
202407036778104,0,5,0.0
202407036778106,0,2,0.0
202407036778375,0,2,0.0
202407036778447,0,4,0.0
202407036778449,0,1,0.0
202407036778450,0,2,0.0
202407036778453,0,2,0.0
202407036778617,0,1,0.0
202407036778692,0,1,0.0
202407036778737,0,1,0.0
202407036779396,0,2,0.0
202407036779411,0,1,0.0
202407036779501,0,5,0.0
202407036779579,0,2,0.0
202407036779886,0,1,0.0
202407036779910,6,8,75.0
202407036779961,0,3,0.0
202407036779969,0,1,0.0
