TiplocCode,StationName,Latitude,Longitude
CORROUR,Corrour Rail Station,56.76021216272172,-4.6906000455832215
STGRMNS,St Germans Rail Station,50.39427279611027,-4.308404176676939
LCHWNCH,Lochwinnoch Rail Station,55.787154468770794,-4.61607512818046
FYSD,Ferryside Rail Station,51.76836542610265,-4.369458020656299
PWLHELI,Pwllheli Rail Station,52.88783276740978,-4.416697385802637
CRNLRCH,Crianlarich Rail Station,56.39047467975723,-4.618433385873049
LGBK,Langbank Rail Station,55.92451804239224,-4.585274376230481
BODORGN,Bodorgan Rail Station,53.20430031147759,-4.418003060155302
RENTON,Renton Rail Station,55.97042970000997,-4.586125565186504
BALLOCH,Balloch Rail Station,56.00293219637534,-4.583485263088516
DLREOCH,Dalreoch Rail Station,55.94741351112331,-4.577862798220032
ALXANDR,Alexandria Rail Station,55.98508167248959,-4.5774840934628696
HOWOOD,Howwood (Renfrewshire) Rail Station,55.810562805450274,-4.563057857332448
GARVE,Garve Rail Station,57.61303952349559,-4.688394982991308
DMBRTNC,Dumbarton Central Rail Station,55.946653396690394,-4.566920430143511
KIDWELY,Kidwelly Rail Station,51.734340112863585,-4.316985355788191
ABRE,Abererch Rail Station,52.89858142522598,-4.374175311407815
DMBRTNE,Dumbarton East Rail Station,55.94224540744082,-4.554136557727577
KLMAURS,Kilmaurs Rail Station,55.63720642155084,-4.530490240226653
DNLP,Dunlop Rail Station,55.71187839829655,-4.532388660377677
CMTHN,Carmarthen Rail Station,51.85335088134031,-4.305960778243126
MILKNPK,Milliken Park Rail Station,55.8251102423177,-4.533357814877234
STEWRTN,Stewarton Rail Station,55.682152360717474,-4.518057388834133
RANNOCH,Rannoch Rail Station,56.68604442441003,-4.5768694665951
KILMRNK,Kilmarnock Rail Station,55.61211611601432,-4.498684618952
GUNISLK,Gunnislake Rail Station,50.51608044486282,-4.219405438502552
PENYCHN,Penychain Rail Station,52.90288169133422,-4.338721399799141
SASH,Saltash Rail Station,50.4073549182795,-4.209112481049419
JOHNSTN,Johnstone Rail Station,55.83470720046355,-4.503637118154339
CALSTCK,Calstock Rail Station,50.497795451738185,-4.2089874267577985
BISHPTN,Bishopton Rail Station,55.90226250287703,-4.500486326605139
